game_pk,game_date,home_team,away_team,home_team_id,away_team_id,home_score,away_score,home_win,point_diff,home_sp_id,away_sp_id,HOME_L10_WIN_PCT,HOME_L5_WIN_PCT,HOME_L20_WIN_PCT,HOME_L10_RD,HOME_L5_RD,HOME_L20_RD,HOME_L10_RUNS_FOR,HOME_L10_RUNS_AGN,HOME_L20_RUNS_FOR,HOME_L20_RUNS_AGN,AWAY_L10_WIN_PCT,AWAY_L5_WIN_PCT,AWAY_L20_WIN_PCT,AWAY_L10_RD,AWAY_L5_RD,AWAY_L20_RD,AWAY_L10_RUNS_FOR,AWAY_L10_RUNS_AGN,AWAY_L20_RUNS_FOR,AWAY_L20_RUNS_AGN,HOME_SP_ERA,HOME_SP_WHIP,HOME_SP_K9,HOME_SP_FIP,HOME_SP_BB9,HOME_SP_K_BB_PCT,HOME_SP_HR9,HOME_SP_IP,HOME_SP_IS_LEFT,AWAY_SP_ERA,AWAY_SP_WHIP,AWAY_SP_K9,AWAY_SP_FIP,AWAY_SP_BB9,AWAY_SP_K_BB_PCT,AWAY_SP_HR9,AWAY_SP_IP,AWAY_SP_IS_LEFT,HOME_BP_ERA,HOME_BP_WHIP,HOME_BP_K_BB,HOME_BP_IP_LAST_3D,HOME_BP_IP_YESTERDAY,HOME_BP_RELIEVERS_LAST_3D,HOME_BP_RELIEVERS_YESTERDAY,HOME_BP_TOP_USED_YESTERDAY,AWAY_BP_ERA,AWAY_BP_WHIP,AWAY_BP_K_BB,AWAY_BP_IP_LAST_3D,AWAY_BP_IP_YESTERDAY,AWAY_BP_RELIEVERS_LAST_3D,AWAY_BP_RELIEVERS_YESTERDAY,AWAY_BP_TOP_USED_YESTERDAY,WIN_PCT_DIFF,RD_DIFF,ERA_DIFF,WHIP_DIFF,K9_DIFF,FIP_DIFF,BB9_DIFF,K_BB_PCT_DIFF,HR9_DIFF,SP_IP_DIFF,SP_HAND_DIFF,WIN_PCT_DIFF_L20,RD_DIFF_L20,BP_ERA_DIFF,BP_WHIP_DIFF,BP_K_BB_DIFF,BP_IP_LAST_3D_DIFF,BP_IP_YESTERDAY_DIFF,BP_RELIEVERS_LAST_3D_DIFF,BP_RELIEVERS_YESTERDAY_DIFF,BP_TOP_USED_YESTERDAY_DIFF,BALLPARK_FACTOR
777511,2025-06-14,KC,ATH,118,133,0,4,0,-4,547179.0,682052.0,0.3,0.2,0.35,-1.6,-2.4,-1.15,4.1,5.7,3.55,4.7,0.4,0.4,0.25,-0.2,0.2,-2.2,4.8,5.0,4.4,6.6,4.9437,1.3803,7.7324,4.7915,2.7887,0.1262,1.6479,30.0,0,5.7,1.6267,11.0,5.1633,4.24,0.1612,2.03,24.0,0,3.7059,1.3725,2.4545,11.667,3.667,10,3,1,6.2419,1.6452,1.9091,4.0,1.333,4,2,1,-0.10000000000000003,-1.4000000000000001,-0.7563000000000004,-0.24639999999999995,-3.2676,-0.37179999999999946,-1.4513000000000003,-0.035,-0.3820999999999999,6.0,0,0.09999999999999998,1.0500000000000003,-2.536,-0.27269999999999994,0.5453999999999999,7.667,2.3339999999999996,6,1,0,0.97
777492,2025-06-15,MIL,STL,158,138,3,2,1,1,682990.0,571945.0,0.5,0.6,0.65,0.3,0.6,1.25,3.4,3.1,4.4,3.15,0.4,0.2,0.45,-0.6,-1.6,-1.1,4.1,4.7,4.1,5.2,3.6486,1.2973,6.2757,4.3351,3.7946,0.0659,0.8757,30.0,0,4.4774,1.3116,5.1558,3.803,2.3065,0.0739,0.6784,30.0,0,3.3097,1.0452,3.3333,11.667,4.667,8,3,1,3.42,1.44,2.1053,11.0,4.667,8,4,1,0.09999999999999998,0.8999999999999999,-0.8288000000000002,-0.014300000000000201,1.1198999999999995,0.5320999999999998,1.4880999999999998,-0.007999999999999993,0.19730000000000003,0.0,0,0.2,2.35,-0.11030000000000006,-0.39480000000000004,1.2279999999999998,0.6669999999999998,0.0,0,-1,0,1.02
777498,2025-06-15,LAD,SF,119,137,5,4,1,1,669160.0,663546.0,0.5,0.6,0.5,-1.0,-0.8,0.3,4.2,5.2,5.15,4.85,0.8,0.6,0.55,0.6,0.2,0.0,5.5,4.9,3.55,3.55,4.455,1.305,8.64,4.01,3.51,0.1333,1.08,30.0,0,4.5,1.3267,7.6667,4.43,3.6733,0.1109,0.9967,4.0,0,4.4489,1.3125,2.3478,6.333,2.0,4,3,1,3.3288,1.5411,1.1667,11.0,6.333,9,3,0,-0.30000000000000004,-1.6,-0.04499999999999993,-0.021700000000000053,0.9733000000000009,-0.41999999999999993,-0.1633,0.022400000000000003,0.08330000000000004,26.0,0,-0.050000000000000044,0.3,1.1200999999999999,-0.22859999999999991,1.1810999999999998,-4.667,-4.333,-5,0,1,0.99
777495,2025-06-15,SEA,CLE,136,114,6,0,1,6,676106.0,682847.0,0.3,0.4,0.35,-1.2,-1.6,-1.4,3.8,5.0,3.65,5.05,0.3,0.2,0.4,-0.3,-0.2,-0.5,3.3,3.6,3.55,4.05,5.0422,1.5,6.6687,5.1518,3.253,0.0875,1.6265,30.0,0,4.2632,1.4498,9.8182,4.1617,4.3923,0.1391,1.1627,30.0,0,5.1429,1.449,2.2083,7.0,4.0,7,4,1,2.7,1.4143,2.1,7.667,3.667,8,4,1,0.0,-0.8999999999999999,0.7789999999999999,0.05020000000000002,-3.149499999999999,0.9901,-1.1392999999999995,-0.05160000000000001,0.4638,0.0,0,-0.050000000000000044,-0.8999999999999999,2.4429,0.034700000000000175,0.10829999999999984,-0.6669999999999998,0.3330000000000002,-1,0,0,0.97
777491,2025-06-15,AZ,SD,109,135,2,8,0,-6,518876.0,601713.0,0.7,1.0,0.5,0.6,3.8,-0.15,5.5,4.9,5.15,5.3,0.3,0.2,0.5,0.1,0.2,-0.1,4.1,4.0,4.0,4.1,3.1829,0.9878,8.6707,3.3098,2.3049,0.179,0.878,30.0,0,3.4839,1.106,9.8295,3.3244,2.6129,0.1973,0.9954,30.0,0,3.9941,1.4911,1.6774,6.667,2.667,7,3,1,2.6667,1.2037,2.3478,7.0,3.333,8,5,1,0.39999999999999997,0.5,-0.30100000000000016,-0.11820000000000008,-1.1587999999999994,-0.014599999999999724,-0.30799999999999983,-0.01830000000000001,-0.11739999999999995,0.0,0,0.0,-0.04999999999999999,1.3274,0.2874000000000001,-0.6703999999999999,-0.3330000000000002,-0.6660000000000004,-1,-2,0,1.0
777493,2025-06-15,TEX,CWS,140,145,2,1,1,1,677958.0,650644.0,0.6,0.8,0.5,2.7,4.8,1.5,5.8,3.1,4.6,3.1,0.4,0.2,0.35,-0.4,-2.0,-0.35,3.7,4.1,3.95,4.3,7.9,1.7222,8.1889,4.4889,2.8111,0.1277,1.4556,23.333333333333332,0,4.8,1.3467,7.9667,5.1067,2.9533,0.1323,1.8067,22.0,0,1.7647,0.9608,4.8,15.0,5.0,15,5,1,3.6,1.4727,2.0455,11.667,6.667,10,6,1,0.19999999999999996,3.1,3.1000000000000005,0.37549999999999994,0.22219999999999995,-0.6177999999999999,-0.14219999999999988,-0.004599999999999993,-0.35109999999999997,1.3333333333333321,0,0.15000000000000002,1.85,-1.8353000000000002,-0.5118999999999999,2.7544999999999997,3.333,-1.6669999999999998,5,-1,0,1.03
777497,2025-06-15,CHC,PIT,112,134,3,2,1,1,607067.0,656605.0,0.5,0.6,0.6,0.4,0.0,0.7,3.3,2.9,3.8,3.1,0.6,0.4,0.55,0.5,0.2,0.7,3.3,2.8,3.65,2.95,3.9194,1.371,6.9677,4.3613,2.4677,0.1183,1.3065,30.0,0,4.1538,1.2753,7.1053,3.2972,2.1862,0.1286,0.6559,30.0,0,0.9,0.96,4.0,10.0,3.0,11,3,1,2.5116,0.8837,2.625,9.667,2.667,8,2,1,-0.09999999999999998,-0.09999999999999998,-0.23440000000000039,0.0956999999999999,-0.13759999999999994,1.0640999999999998,0.28149999999999986,-0.01029999999999999,0.6506,0.0,0,0.04999999999999993,0.0,-1.6116000000000001,0.07629999999999992,1.375,0.3330000000000002,0.3330000000000002,3,1,0,1.02
777494,2025-06-15,HOU,MIN,117,142,2,1,1,1,687888.0,680573.0,0.7,0.8,0.7,2.0,3.0,0.75,4.8,2.8,4.3,3.55,0.3,0.2,0.4,-3.5,-5.8,-1.3,4.1,7.6,4.5,5.8,3.45,1.1567,8.3833,3.795,2.3267,0.1704,1.0283,11.0,0,5.7402,1.6299,8.2913,5.0189,3.6142,0.1146,1.7008,30.0,0,3.8268,1.063,3.8,9.0,2.0,9,2,1,6.0203,1.5811,2.7368,10.0,1.667,9,2,1,0.39999999999999997,5.5,-2.2901999999999996,-0.47319999999999984,0.09200000000000053,-1.2239000000000004,-1.2874999999999996,0.0558,-0.6725000000000001,-19.0,0,0.29999999999999993,2.05,-2.1935,-0.5181,1.0631999999999997,-1.0,0.33299999999999996,0,0,0,1.0
777496,2025-06-15,KC,ATH,118,133,2,3,0,-1,702070.0,605488.0,0.2,0.0,0.3,-2.3,-3.6,-1.55,3.1,5.4,3.15,4.7,0.5,0.4,0.3,0.9,0.2,-1.95,4.9,4.0,4.45,6.4,2.1696,0.8839,6.0268,4.1375,2.6518,0.0972,0.9643,30.0,0,4.6425,1.3032,7.819,4.8425,3.7873,0.1034,1.4661,30.0,0,3.6818,1.3442,2.3182,10.0,3.0,9,3,0,5.7966,1.5085,2.2857,4.333,3.0,4,2,0,-0.3,-3.1999999999999997,-2.4729,-0.4192999999999999,-1.7922000000000002,-0.7050000000000001,-1.1355,-0.006200000000000011,-0.5017999999999999,0.0,0,0.0,0.3999999999999999,-2.1148,-0.1642999999999999,0.032500000000000195,5.667,0.0,5,1,0,0.97
777502,2025-06-15,NYM,TB,121,139,0,9,0,-9,656288.0,669358.0,0.7,0.6,0.75,2.2,0.2,1.75,5.9,3.7,5.25,3.5,0.7,0.6,0.7,0.8,1.0,2.8,5.5,4.7,6.0,3.2,3.2176,1.3523,8.5337,4.2259,3.9171,0.1204,1.1192,30.0,0,4.967,1.3443,8.2783,4.8557,3.3113,0.1296,1.6557,30.0,0,3.6541,1.5338,2.7059,12.667,5.333,11,4,1,2.6,1.3333,4.3077,9.0,4.0,9,4,0,0.0,1.4000000000000001,-1.7493999999999996,0.008000000000000007,0.25539999999999985,-0.6297999999999995,0.6057999999999999,-0.0092,-0.5365,0.0,0,0.050000000000000044,-1.0499999999999998,1.0541,0.20050000000000012,-1.6017999999999994,3.667,1.3330000000000002,2,0,1,0.99
777500,2025-06-15,BOS,NYY,111,147,2,0,1,2,678394.0,608331.0,0.7,0.8,0.5,0.8,0.6,-0.1,6.2,5.4,4.6,4.7,0.5,0.6,0.6,0.6,2.0,0.5,4.8,4.2,4.7,4.2,3.9554,1.5478,6.3631,4.4611,4.2994,0.0513,0.8599,30.0,0,1.8409,0.9318,8.2841,2.8591,1.8409,0.1821,0.6136,30.0,0,2.7651,1.1386,2.1481,4.667,3.0,5,3,1,5.22,1.54,2.3889,11.333,3.0,9,1,0,0.19999999999999996,0.20000000000000007,2.1145,0.6160000000000001,-1.9210000000000003,1.6019999999999999,2.4585000000000004,-0.13080000000000003,0.24629999999999996,0.0,0,-0.09999999999999998,-0.6,-2.4549,-0.4014,-0.24080000000000013,-6.666,0.0,-4,2,1,1.06
777503,2025-06-15,WSH,MIA,120,146,1,3,0,-2,669022.0,691587.0,0.2,0.0,0.35,-1.9,-2.0,-0.75,2.6,4.5,3.7,4.45,0.4,0.6,0.4,-0.9,-1.2,-0.55,4.3,5.2,4.1,4.65,2.877,1.1189,12.6148,2.6467,2.4344,0.2805,0.9959,30.0,0,5.25,1.37,9.15,4.1017,3.48,0.1505,1.035,3.0,0,4.2914,1.5099,1.68,12.333,3.667,11,5,1,4.4053,1.2,4.1538,14.0,8.0,12,5,1,-0.2,-0.9999999999999999,-2.373,-0.2511000000000001,3.4648000000000003,-1.455,-1.0455999999999999,0.13000000000000003,-0.03909999999999991,27.0,0,-0.050000000000000044,-0.19999999999999996,-0.11390000000000011,0.30990000000000006,-2.4738000000000007,-1.6669999999999998,-4.333,-1,0,0,0.96
777504,2025-06-15,ATL,COL,144,115,1,10,0,-9,656550.0,596295.0,0.4,0.8,0.35,1.3,3.6,0.65,5.0,3.7,4.2,3.55,0.3,0.2,0.25,-2.9,-2.8,-2.65,3.9,6.8,3.25,5.9,4.0685,1.2192,9.4932,4.7205,3.9452,0.1485,1.6027,30.0,0,4.5,1.3,8.5,4.35,3.2,0.145,1.15,0.0,0,3.6429,1.1429,3.4286,8.667,3.0,8,2,1,6.2069,1.4655,1.9643,10.0,2.0,7,1,0,0.10000000000000003,4.2,-0.4314999999999998,-0.08079999999999998,0.9931999999999999,0.3705000000000007,0.7451999999999996,0.003500000000000003,0.4527000000000001,30.0,0,0.09999999999999998,3.3,-2.564,-0.3226,1.4643,-1.3330000000000002,1.0,1,1,1,0.99
777499,2025-06-15,PHI,TOR,143,141,11,4,1,7,554430.0,621244.0,0.4,0.8,0.45,-0.1,2.2,-0.65,3.4,3.5,4.0,4.65,0.7,0.6,0.65,0.5,-0.8,0.35,4.7,4.2,4.7,4.35,2.8537,0.9024,11.0854,3.0171,2.0854,0.2595,1.0976,30.0,0,3.375,1.246,7.7298,4.3734,3.4839,0.1144,1.1976,30.0,0,4.0325,1.3247,1.95,4.0,2.0,4,2,1,3.5801,1.2265,2.9091,7.333,4.333,7,4,1,-0.29999999999999993,-0.6,-0.5213000000000001,-0.3436,3.3556,-1.3563,-1.3985000000000003,0.1451,-0.10000000000000009,0.0,0,-0.2,-1.0,0.4523999999999999,0.09820000000000007,-0.9591000000000001,-3.333,-2.333,-3,-2,0,1.04
777501,2025-06-15,BAL,LAA,110,108,11,2,1,9,656240.0,579328.0,0.6,0.6,0.65,0.7,1.4,0.85,4.1,3.4,4.0,3.15,0.6,0.6,0.45,0.3,0.4,-0.35,4.8,4.5,3.9,4.25,3.45,1.31,8.0833,4.7717,3.4067,0.1227,1.5383,28.999999999999996,0,2.9221,1.4675,7.9481,4.3818,4.7922,0.0808,0.9351,30.0,0,1.7308,0.8654,4.125,16.333,4.333,11,5,1,2.6299,1.1299,2.15,6.667,3.0,7,3,0,0.0,0.39999999999999997,0.5279000000000003,-0.15749999999999997,0.13519999999999932,0.3898999999999999,-1.3855000000000004,0.04190000000000001,0.6032,-1.0000000000000036,0,0.2,1.2,-0.8991000000000002,-0.26449999999999996,1.975,9.665999999999999,1.3330000000000002,4,2,1,1.0
777505,2025-06-15,DET,CIN,116,113,4,8,0,-4,663947.0,489119.0,0.6,0.6,0.65,-0.7,-1.6,0.4,3.7,4.4,3.95,3.55,0.7,0.6,0.55,0.8,-0.2,0.2,5.2,4.4,4.95,4.75,4.2188,1.2812,7.875,4.6375,2.25,0.1493,1.6875,30.0,0,5.55,1.4967,7.1167,4.7817,3.6533,0.0974,1.1817,7.0,0,5.044,1.3022,2.8824,14.667,4.333,11,4,1,4.2955,1.2045,2.6667,6.0,3.0,7,3,1,-0.09999999999999998,-1.5,-1.3312,-0.21550000000000002,0.7583000000000002,-0.14419999999999966,-1.4033000000000002,0.05189999999999999,0.5058,23.0,0,0.09999999999999998,0.2,0.7484999999999999,0.09770000000000012,0.2157,8.667,1.3330000000000002,4,1,0,1.01
777490,2025-06-16,LAD,SD,119,135,6,3,1,3,660271.0,656302.0,0.6,0.6,0.55,-0.4,-0.8,0.5,4.6,5.0,5.3,4.8,0.4,0.4,0.55,0.8,1.6,0.5,4.4,3.6,4.35,3.85,4.5,1.3,8.5,4.35,3.2,0.145,1.15,0.0,0,4.2819,1.2952,11.4185,3.1868,3.4493,0.2087,0.9515,30.0,0,4.4489,1.2784,2.5455,9.333,3.0,7,3,1,2.4387,1.1613,2.5,9.0,2.0,10,2,1,0.19999999999999996,-1.2000000000000002,0.21809999999999974,0.0048000000000001375,-2.9185,1.1631999999999998,-0.24929999999999986,-0.0637,0.1984999999999999,-30.0,0,0.0,0.0,2.0102,0.11709999999999998,0.045500000000000096,0.3330000000000002,1.0,-3,1,0,0.99
777485,2025-06-16,ATH,HOU,133,117,3,1,1,2,687765.0,687473.0,0.6,0.6,0.35,1.5,1.0,-1.75,5.1,3.6,4.3,6.05,0.8,1.0,0.75,2.4,3.6,0.9,5.0,2.6,4.25,3.35,3.6735,1.2041,8.2653,3.6082,2.7551,0.1449,0.9184,30.0,0,4.6233,1.5411,9.6164,3.8986,3.6986,0.1461,1.1096,30.0,0,5.7,1.5,2.4286,7.333,3.0,7,3,1,3.5474,1.0292,4.0,8.333,3.333,8,3,1,-0.20000000000000007,-0.8999999999999999,-0.9498000000000002,-0.33699999999999997,-1.3511000000000006,-0.2904,-0.9434999999999998,-0.0012000000000000066,-0.19119999999999993,0.0,0,-0.4,-2.65,2.1526,0.4708000000000001,-1.5714000000000001,-1.0,-0.3330000000000002,-1,0,0,0.95
777486,2025-06-16,SEA,BOS,136,111,0,2,0,-2,669302.0,608337.0,0.4,0.6,0.35,-0.5,0.4,-1.2,4.2,4.7,3.7,4.9,0.8,1.0,0.5,1.1,1.4,-0.05,6.1,5.0,4.4,4.45,2.3736,0.7912,13.0549,2.178,1.7802,0.3248,0.8901,30.0,0,5.4454,1.5378,7.0336,4.6622,3.1765,0.0983,1.3613,30.0,0,3.7762,1.3007,2.4286,9.0,2.0,9,2,1,2.8868,1.1887,2.1538,6.667,2.0,7,2,1,-0.4,-1.6,-3.0718,-0.7466,6.0213,-2.4842000000000004,-1.3962999999999999,0.22649999999999998,-0.47119999999999995,0.0,0,-0.15000000000000002,-1.15,0.8893999999999997,0.11199999999999988,0.27479999999999993,2.333,0.0,2,0,0,0.97
777484,2025-06-16,TB,BAL,139,110,7,1,1,6,686752.0,621107.0,0.7,0.6,0.7,1.6,2.4,3.15,5.9,4.3,6.3,3.15,0.6,0.8,0.7,1.5,3.6,1.35,4.9,3.4,4.3,2.95,3.3061,1.1388,8.0449,4.3633,2.6449,0.1498,1.4327,30.0,0,4.0755,1.0943,6.1132,4.6906,1.1887,0.1362,1.6981,30.0,0,2.1838,1.3235,3.375,11.333,2.333,12,3,1,1.4379,0.8343,4.1176,14.667,6.333,13,4,1,0.09999999999999998,0.10000000000000009,-0.7694000000000001,0.044499999999999984,1.9317000000000002,-0.32730000000000015,1.4561999999999997,0.013600000000000001,-0.26539999999999986,0.0,0,0.0,1.7999999999999998,0.7459000000000002,0.48919999999999986,-0.7426000000000004,-3.3339999999999996,-4.0,-1,-1,0,0.95
